Size,Average Time
11,0.0042674128801445475
21,0.016951509299397004
31,0.03493421521910932
41,0.048735585398972034
51,0.06733346394117688
61,0.0921932171593653
71,0.12595576007995987
81,0.14943278192105935
91,0.18450715800077888
101,0.21609713570098393
111,0.31328950676048406
121,0.4043550529589993
131,0.4328728554394911
141,0.45135955097852276
151,0.5606351408397313
161,0.584122724920162
171,0.7771276016990305
181,0.8984042068806594
191,0.8840196401186404
201,1.0493962614590417
211,1.095606057459663
221,1.3622521194594446
231,1.5291887701200904
241,1.8595672689774074
251,1.7003234514803625
261,1.974644865980954
271,2.1747167437386814
281,2.589669580179907
291,2.5442631536594127
301,3.2709110342807253
311,3.1957308226815075
321,3.8543748703808522
331,3.7177497838815907
341,4.459738230140065
351,4.048702826920489
361,4.5420850571204205
371,5.1247226408589635
381,5.542953418859979
391,5.407326687918976
401,6.204264703819645
411,6.495395167320676
421,5.693551885520574
431,6.965732753319316
441,6.855333488979668
451,6.902015150340449
461,6.759508493160247
471,7.318896990820358
481,6.407392891540658
491,6.018842419618741
